index,CODIGO,ENTIDAD,DIRECCION,COMUNA,HORARIO,LONGITUD,LATITUD,CATEGORIA,FUNCIONES
1265,121442,Amasenderia El Paso Andino,Las Torres Poniente 81,QUILICURA,No hay informacion disponible,-70.741837,-33.349751,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1266,121480,Almacen Minimarket 2,San Pablo 4519,QUINTA NORMAL,No hay informacion disponible,-70.696678,-33.438686,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1267,121493,Almacen Gaston,Parinacota 223,LA REINA,No hay informacion disponible,-70.531769,-33.454681,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1268,121494,Ralun,Maturana 76,SANTIAGO,No hay informacion disponible,-70.666504,-33.444298,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1269,121536,Minimarket Pame,Enrique Olivares 1748,LA FLORIDA,No hay informacion disponible,-70.564476,-33.539993,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1270,121573,Bazar Los Cinco,Av. Dorsal 3955,RENCA,No hay informacion disponible,-70.698812,-33.400490,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1271,121694,Pet Aliments Spa,Chacabuco 860,SANTIAGO,No hay informacion disponible,-70.679573,-33.435013,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1272,121697,Oxxo - Lautaro Ferrer,Doctor Pedro Lautaro Ferrer 3006,PROVIDENCIA,No hay informacion disponible,-70.599838,-33.444641,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1273,121757,Techy Remesas,Av. Arzobispo Valdivieso 425,RECOLETA,No hay informacion disponible,-70.639503,-33.413502,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1274,121761,Cary,Rene Olivares Becerra 2680,MAIPU,No hay informacion disponible,-70.786179,-33.541168,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1275,121770,Upa ! Market (F28S),Moneda 957,SANTIAGO,No hay informacion disponible,-70.650009,-33.441742,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1276,121782,Santa Elvira,Gonzalo Bulnes 2302,QUINTA NORMAL,No hay informacion disponible,-70.697853,-33.421471,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
